unit_cell_id,index_x,index_y,index_z,strut_count,mean_density_score,minimum_density_score,present_count,uncertain_count,low_density_count,broken_count,missing_count
73,1,8,0,28,0.29708996,0,6,6,10,0,6
74,2,8,0,28,0.30516558,0,8,3,9,0,8
75,3,8,0,28,0.30368848,0,7,7,6,0,8
76,4,8,0,28,0.29180089,0,5,8,7,0,8
77,5,8,0,28,0.27902001,0,6,4,9,1,8
78,6,8,0,28,0.25881011,0,5,2,9,4,8
79,7,8,0,28,0.25267851,0,5,1,13,5,4
80,8,8,0,32,0.23693526,0,4,2,11,8,7
81,0,0,1,24,0.56541856,0.44889357,21,3,0,0,0
82,1,0,1,24,0.5899241,0.45703645,23,1,0,0,0
83,2,0,1,24,0.59913257,0.44754386,23,1,0,0,0
84,3,0,1,24,0.58763353,0.47596352,24,0,0,0,0
85,4,0,1,24,0.55975535,0.45330381,23,1,0,0,0
86,5,0,1,24,0.51118081,0.39277099,14,10,0,0,0
87,6,0,1,24,0.45954719,0.31462837,7,14,3,0,0
88,7,0,1,24,0.39466829,0.23936853,4,7,13,0,0
89,8,0,1,28,0.29298055,0.013401725,4,0,17,6,1
90,0,1,1,24,0.52150328,0.22481485,20,3,0,1,0
91,1,1,1,24,0.58088005,0.43594792,21,3,0,0,0
92,2,1,1,24,0.54848964,0.17031872,18,4,0,2,0
93,3,1,1,24,0.57262787,0.42111592,20,4,0,0,0
94,4,1,1,24,0.54383624,0.38721545,19,5,0,0,0
95,5,1,1,24,0.4790871,0.20622261,12,9,2,1,0
96,6,1,1,24,0.43823224,0.29211092,4,14,6,0,0
97,7,1,1,24,0.3684666,0.10849604,4,2,14,4,0
98,8,1,1,28,0.27019967,0.0032006398,4,1,10,10,3
99,0,2,1,24,0.51694176,0.31599284,17,5,2,0,0
100,1,2,1,24,0.56243855,0.39882039,19,5,0,0,0
101,2,2,1,24,0.55432085,0.3980975,19,5,0,0,0
102,3,2,1,24,0.55256526,0.3801784,19,5,0,0,0
103,4,2,1,24,0.5194334,0.3640856,17,7,0,0,0
104,5,2,1,24,0.47746474,0.31873463,10,10,4,0,0
105,6,2,1,24,0.43164025,0.2530062,6,10,7,1,0
106,7,2,1,24,0.37391393,0.10867259,4,5,10,5,0
107,8,2,1,28,0.27186254,0.0022554722,4,2,9,11,2
108,0,3,1,24,0.49015089,0.31342359,12,9,3,0,0
109,1,3,1,24,0.5524136,0.42059465,18,6,0,0,0
110,2,3,1,24,0.55258284,0.4086327,16,8,0,0,0
111,3,3,1,24,0.53629254,0.3873974,16,8,0,0,0
112,4,3,1,24,0.51358312,0.34389245,17,4,3,0,0
113,5,3,1,24,0.46424005,0.27743157,10,9,5,0,0
114,6,3,1,24,0.44085543,0.24475345,6,11,6,1,0
115,7,3,1,24,0.3841992,0.15013012,4,5,11,4,0
116,8,3,1,28,0.28257414,0.0022741093,4,2,7,13,2
117,0,4,1,24,0.46193646,0.26255524,9,12,3,0,0
118,1,4,1,24,0.52647757,0.40535466,16,7,0,1,0
119,2,4,1,24,0.54180321,0.37465069,16,8,0,0,0
120,3,4,1,24,0.52679886,0.35504136,16,7,1,0,0
121,4,4,1,24,0.49769311,0.33502872,16,4,4,0,0
122,5,4,1,24,0.46914636,0.31202499,13,6,5,0,0
123,6,4,1,24,0.42986964,0.21289678,7,7,9,1,0
124,7,4,1,24,0.38507549,0.14692588,4,5,9,6,0
125,8,4,1,28,0.28603744,0.00078651892,4,1,9,12,2
126,0,5,1,24,0.45025957,0.21398093,8,12,4,0,0
127,1,5,1,24,0.52108055,0.35134298,14,8,2,0,0
128,2,5,1,24,0.51828161,0.32184587,16,5,3,0,0
129,3,5,1,24,0.49663672,0.28235421,15,4,4,1,0
130,4,5,1,24,0.48275751,0.29161371,14,5,5,0,0
131,5,5,1,24,0.4422474,0.2723621,9,9,4,2,0
132,6,5,1,24,0.41715472,0.19864147,7,6,9,2,0
133,7,5,1,24,0.37471014,0.16048517,5,3,11,5,0
134,8,5,1,28,0.28262024,0.0010476833,4,2,8,12,2
135,0,6,1,24,0.44900606,0.24326551,7,12,5,0,0
136,1,6,1,24,0.51563473,0.36297685,12,12,0,0,0
137,2,6,1,24,0.5110071,0.30999746,16,5,3,0,0
138,3,6,1,24,0.50103851,0.2763678,16,3,5,0,0
139,4,6,1,24,0.48130558,0.25980172,13,5,6,0,0
140,5,6,1,24,0.45189628,0.25461222,9,8,6,1,0
141,6,6,1,24,0.40956602,0.20821851,8,2,12,2,0
142,7,6,1,24,0.3537372,0.11251392,6,2,10,6,0
143,8,6,1,28,0.29443625,0.0004561074,4,3,7,12,2
144,0,7,1,24,0.42762366,0.16891587,6,11,7,0,0
145,1,7,1,24,0.49278102,0.35064863,12,9,3,0,0
146,2,7,1,24,0.51455809,0.3435439,16,6,2,0,0
147,3,7,1,24,0.50711819,0.33441055,15,6,3,0,0
148,4,7,1,24,0.4907075,0.32139849,14,7,3,0,0
149,5,7,1,24,0.45971766,0.2676784,9,9,6,0,0
150,6,7,1,24,0.42385352,0.24270203,8,4,10,2,0
151,7,7,1,24,0.37894158,0.18802999,7,2,11,4,0
152,8,7,1,28,0.29474647,0.0011310298,4,4,6,12,2
153,0,8,1,28,0.35236769,1.5633994e-05,5,12,7,0,4
154,1,8,1,28,0.39553338,9.5268891e-07,7,12,5,0,4
155,2,8,1,28,0.40728049,1.2100824e-06,14,6,4,0,4
156,3,8,1,28,0.38925355,1.0887529e-07,12,6,6,0,4
157,4,8,1,28,0.36844617,0,10,6,7,1,4
158,5,8,1,28,0.36160181,0,7,9,8,0,4
159,6,8,1,28,0.32309652,0,6,4,13,1,4
160,7,8,1,28,0.29550024,0,6,1,14,3,4
161,8,8,1,32,0.23427854,0,4,2,12,10,4
162,0,0,2,24,0.59195629,0.44652961,23,1,0,0,0
163,1,0,2,24,0.60865999,0.45578211,23,1,0,0,0
164,2,0,2,24,0.60434793,0.28058542,23,0,1,0,0
165,3,0,2,24,0.60997345,0.49334565,24,0,0,0,0
166,4,0,2,24,0.5809548,0.49058493,24,0,0,0,0
167,5,0,2,24,0.53343041,0.4069213,21,3,0,0,0
168,6,0,2,24,0.47631415,0.37618835,8,16,0,0,0
169,7,0,2,24,0.40847396,0.20847388,4,9,9,2,0
170,8,0,2,28,0.3184453,0.051492293,4,5,17,2,0
171,0,1,2,24,0.57777934,0.46687613,24,0,0,0,0
172,1,1,2,24,0.61955698,0.48518138,24,0,0,0,0
173,2,1,2,24,0.61708926,0.48975514,24,0,0,0,0
174,3,1,2,24,0.59177368,0.44415927,22,2,0,0,0
175,4,1,2,24,0.56399651,0.4043848,20,4,0,0,0
176,5,1,2,24,0.51543615,0.38561597,15,9,0,0,0
177,6,1,2,24,0.46020336,0.35414801,4,19,1,0,0
178,7,1,2,24,0.40647179,0.24593781,4,7,12,1,0
179,8,1,2,28,0.26953734,0.004001162,4,4,8,10,2
180,0,2,2,24,0.52942384,0.16138718,19,4,0,1,0
181,1,2,2,24,0.60438735,0.46931842,24,0,0,0,0
182,2,2,2,24,0.60638513,0.46713196,24,0,0,0,0
183,3,2,2,24,0.59187222,0.43734625,21,3,0,0,0
184,4,2,2,24,0.55489726,0.39836394,20,4,0,0,0
185,5,2,2,24,0.50570732,0.32864218,15,8,1,0,0
186,6,2,2,24,0.45409057,0.30751153,5,14,5,0,0
187,7,2,2,24,0.3720439,0.2181021,4,7,10,3,0
188,8,2,2,28,0.26031349,0.0034777164,4,4,7,11,2
189,0,3,2,24,0.5185775,0.33684821,16,7,1,0,0
190,1,3,2,24,0.58209201,0.46501323,24,0,0,0,0
191,2,3,2,24,0.55374066,0.22541664,21,1,0,2,0
192,3,3,2,24,0.57416394,0.4270853,19,5,0,0,0
193,4,3,2,24,0.53566665,0.39359896,18,6,0,0,0
194,5,3,2,24,0.49789482,0.34117957,13,9,2,0,0
195,6,3,2,24,0.46244591,0.33317517,6,13,5,0,0
196,7,3,2,24,0.39831398,0.15185243,4,9,9,2,0
197,8,3,2,28,0.2788907,0.0035890545,4,4,7,11,2
198,0,4,2,24,0.47314338,0.26879318,11,9,2,2,0
199,1,4,2,24,0.56477102,0.4467778,22,2,0,0,0
200,2,4,2,24,0.56205174,0.44565536,21,2,0,1,0
201,3,4,2,24,0.56185776,0.40542677,19,5,0,0,0
202,4,4,2,24,0.53520794,0.39157398,18,6,0,0,0
203,5,4,2,24,0.50420266,0.35409845,14,8,2,0,0
204,6,4,2,24,0.43364985,0.30771002,7,11,6,0,0
205,7,4,2,24,0.38516782,0.1621935,4,8,10,2,0
206,8,4,2,28,0.28765087,0.0011516419,3,5,7,11,2
207,0,5,2,24,0.47788957,0.26551727,13,7,4,0,0
208,1,5,2,24,0.54399178,0.41574007,18,6,0,0,0
209,2,5,2,24,0.55776521,0.36377634,19,5,0,0,0
210,3,5,2,24,0.51309882,0.17476609,16,5,1,2,0
211,4,5,2,24,0.5212651,0.32739672,18,5,1,0,0
212,5,5,2,24,0.48339541,0.31305889,12,10,2,0,0
213,6,5,2,24,0.43563946,0.279176,7,8,8,1,0
214,7,5,2,24,0.37321842,0.19385206,5,7,9,3,0
215,8,5,2,28,0.28279188,0.00091330588,4,3,9,10,2
216,0,6,2,24,0.47093604,0.28263923,13,7,4,0,0
217,1,6,2,24,0.538043,0.37306637,17,6,0,1,0
218,2,6,2,24,0.54158193,0.37861438,18,6,0,0,0
219,3,6,2,24,0.53638499,0.36349543,17,7,0,0,0
220,4,6,2,24,0.50733784,0.32374439,16,7,1,0,0
221,5,6,2,24,0.47657752,0.27554333,11,11,2,0,0
222,6,6,2,24,0.43615211,0.24870488,8,7,9,0,0
223,7,6,2,24,0.37673961,0.15030499,5,6,7,6,0
224,8,6,2,28,0.29011941,0.0007472437,4,4,6,12,2
225,0,7,2,24,0.46881036,0.26002944,12,10,2,0,0
226,1,7,2,24,0.52708062,0.41061405,14,10,0,0,0
227,2,7,2,24,0.5233626,0.24924,16,7,0,1,0
228,3,7,2,24,0.52543946,0.3883008,16,8,0,0,0
229,4,7,2,24,0.51770232,0.36710449,15,9,0,0,0
230,5,7,2,24,0.48715658,0.34346415,12,10,2,0,0
231,6,7,2,24,0.45004208,0.26331547,8,10,6,0,0
232,7,7,2,24,0.38739997,0.19353379,7,3,13,1,0
233,8,7,2,28,0.29865911,0.00094018433,4,5,6,11,2
234,0,8,2,28,0.38524394,1.3997647e-06,6,13,5,0,4
235,1,8,2,28,0.42479265,6.2606055e-07,13,10,1,0,4
236,2,8,2,28,0.41971938,0,13,9,2,0,4
237,3,8,2,28,0.41454076,0,13,7,4,0,4
238,4,8,2,28,0.39972073,0,12,8,4,0,4
239,5,8,2,28,0.37696898,0,6,12,6,0,4
240,6,8,2,28,0.34702603,0,6,5,13,0,4
241,7,8,2,28,0.30697158,0,5,2,15,2,4
242,8,8,2,32,0.23989132,0,4,2,12,10,4
243,0,0,3,24,0.61176509,0.50036237,24,0,0,0,0
244,1,0,3,24,0.63158786,0.53906886,24,0,0,0,0
245,2,0,3,24,0.62859352,0.5164063,24,0,0,0,0
246,3,0,3,24,0.59268262,0.28044762,23,0,0,1,0
247,4,0,3,24,0.56981,0.22546448,22,0,0,2,0
248,5,0,3,24,0.54386225,0.34937214,23,0,0,1,0
249,6,0,3,24,0.48176344,0.2984648,12,11,1,0,0
250,7,0,3,24,0.4043795,0.26221244,4,11,8,1,0
251,8,0,3,28,0.26003054,0.0040971868,4,3,9,10,2
252,0,1,3,24,0.5954066,0.49395329,24,0,0,0,0
253,1,1,3,24,0.63783204,0.53019327,24,0,0,0,0
254,2,1,3,24,0.63731622,0.52150205,24,0,0,0,0
255,3,1,3,24,0.6122215,0.51266041,24,0,0,0,0
256,4,1,3,24,0.58895026,0.47337155,24,0,0,0,0
257,5,1,3,24,0.54708899,0.43825805,21,3,0,0,0
258,6,1,3,24,0.48459202,0.36335842,9,15,0,0,0
259,7,1,3,24,0.42425387,0.22819402,4,10,9,1,0
260,8,1,3,28,0.26833446,0.0025138676,3,4,11,8,2
261,0,2,3,24,0.57142943,0.41459551,21,3,0,0,0
262,1,2,3,24,0.62529655,0.51656024,24,0,0,0,0
263,2,2,3,24,0.63754907,0.48829194,24,0,0,0,0
264,3,2,3,24,0.62271438,0.49805273,24,0,0,0,0
265,4,2,3,24,0.57577165,0.4624374,24,0,0,0,0
266,5,2,3,24,0.53529524,0.42202878,19,5,0,0,0
267,6,2,3,24,0.46609082,0.35122061,8,15,1,0,0
268,7,2,3,24,0.38498547,0.21065337,4,6,14,0,0
269,8,2,3,28,0.26423947,0.0034223193,4,4,7,11,2
270,0,3,3,24,0.54350856,0.37554083,20,4,0,0,0
271,1,3,3,24,0.611699,0.51056644,24,0,0,0,0
272,2,3,3,24,0.62249402,0.51079258,24,0,0,0,0
273,3,3,3,24,0.60446048,0.47787748,24,0,0,0,0
274,4,3,3,24,0.56699612,0.44691112,23,1,0,0,0
275,5,3,3,24,0.52727581,0.39074365,18,6,0,0,0
276,6,3,3,24,0.47540408,0.33244509,10,12,2,0,0
277,7,3,3,24,0.39106002,0.18832727,6,6,10,2,0
278,8,3,3,28,0.28061851,0.003880214,4,4,10,8,2
279,0,4,3,24,0.51526139,0.35681184,17,5,1,1,0
280,1,4,3,24,0.5875089,0.47689543,24,0,0,0,0
281,2,4,3,24,0.59760684,0.49842042,24,0,0,0,0
282,3,4,3,24,0.59658448,0.46664992,24,0,0,0,0
283,4,4,3,24,0.56850472,0.41791223,23,1,0,0,0
284,5,4,3,24,0.52632437,0.39445149,17,7,0,0,0
285,6,4,3,24,0.46831051,0.32705173,10,10,4,0,0
286,7,4,3,24,0.39520247,0.18424419,4,9,8,3,0
287,8,4,3,28,0.29040154,0.0015491416,5,3,6,12,2
288,0,5,3,24,0.50891406,0.2978772,16,6,2,0,0
289,1,5,3,24,0.56923324,0.45189069,23,1,0,0,0
290,2,5,3,24,0.58430014,0.43244468,21,3,0,0,0
291,3,5,3,24,0.5569468,0.32294384,18,5,1,0,0
292,4,5,3,24,0.54750239,0.4050867,19,5,0,0,0
293,5,5,3,24,0.51621021,0.37534202,15,9,0,0,0
294,6,5,3,24,0.45071702,0.31743136,8,9,7,0,0
295,7,5,3,24,0.37602834,0.16524938,5,7,9,3,0
296,8,5,3,28,0.28334918,0.0011419926,4,4,6,12,2
297,0,6,3,24,0.49650375,0.30877103,14,8,2,0,0
298,1,6,3,24,0.55434454,0.43473492,21,3,0,0,0
299,2,6,3,24,0.56641251,0.23741726,21,2,0,1,0
300,3,6,3,24,0.55564522,0.404739,21,3,0,0,0
301,4,6,3,24,0.52372497,0.38153445,17,7,0,0,0
302,5,6,3,24,0.50674566,0.34193104,13,10,1,0,0
303,6,6,3,24,0.44378949,0.28479115,8,11,5,0,0
304,7,6,3,24,0.38059559,0.15738745,5,7,9,3,0
305,8,6,3,28,0.28650325,0.00042640359,4,4,6,12,2
306,0,7,3,24,0.49780723,0.2990876,13,9,2,0,0
307,1,7,3,24,0.5596148,0.44441238,21,3,0,0,0
308,2,7,3,24,0.55989007,0.42069928,19,5,0,0,0
309,3,7,3,24,0.55602944,0.40566716,19,5,0,0,0
310,4,7,3,24,0.51603854,0.30318661,14,9,0,1,0
311,5,7,3,24,0.51428274,0.35651736,13,10,1,0,0
312,6,7,3,24,0.45501874,0.3199428,8,12,4,0,0
313,7,7,3,24,0.39549344,0.19600073,8,4,9,3,0
314,8,7,3,28,0.28807548,0.0012452751,4,6,5,11,2
315,0,8,3,28,0.40740698,2.8500669e-05,12,9,3,0,4
316,1,8,3,28,0.45154059,5.3555989e-06,18,6,0,0,4
317,2,8,3,28,0.4517357,7.5515716e-06,19,5,0,0,4
318,3,8,3,28,0.43848976,4.2855319e-06,16,7,1,0,4
319,4,8,3,28,0.42479643,0,15,8,1,0,4
320,5,8,3,28,0.38898799,0,7,11,6,0,4
321,6,8,3,28,0.35465065,0,6,7,11,0,4
322,7,8,3,28,0.31845893,0,5,5,13,1,4
323,8,8,3,32,0.2372468,0,4,2,11,9,6
324,0,0,4,24,0.62021464,0.51188657,24,0,0,0,0
325,1,0,4,24,0.63744066,0.49040773,24,0,0,0,0
326,2,0,4,24,0.61096094,0.24273044,23,0,0,1,0
327,3,0,4,24,0.55693461,0.2568536,20,3,0,1,0
328,4,0,4,24,0.52849411,0.23666187,17,3,0,4,0
329,5,0,4,24,0.55036737,0.45494211,23,1,0,0,0
330,6,0,4,24,0.49589181,0.38503412,14,10,0,0,0
331,7,0,4,24,0.43985105,0.29890073,6,14,4,0,0
332,8,0,4,28,0.31062201,0.0024600513,4,4,16,2,2
333,0,1,4,24,0.60472178,0.47974297,24,0,0,0,0
334,1,1,4,24,0.64357038,0.46888584,24,0,0,0,0
335,2,1,4,24,0.63913353,0.48533983,24,0,0,0,0
336,3,1,4,24,0.62854869,0.45686428,23,1,0,0,0
337,4,1,4,24,0.57801539,0.44174956,23,0,0,1,0
338,5,1,4,24,0.53661218,0.41308349,22,2,0,0,0
339,6,1,4,24,0.47505947,0.26469178,8,15,0,1,0
340,7,1,4,24,0.41575819,0.26552881,5,7,12,0,0
341,8,1,4,28,0.27268736,0.0047690136,3,4,12,8,1
342,0,2,4,24,0.58474822,0.46374028,24,0,0,0,0
343,1,2,4,24,0.63476258,0.48099457,24,0,0,0,0
344,2,2,4,24,0.64050853,0.46974316,24,0,0,0,0
345,3,2,4,24,0.63045546,0.45651391,23,1,0,0,0
346,4,2,4,24,0.58355984,0.45881428,23,1,0,0,0
347,5,2,4,24,0.54206008,0.43780009,22,2,0,0,0
348,6,2,4,24,0.47560023,0.34242755,7,16,1,0,0
349,7,2,4,24,0.39434145,0.21796605,5,6,13,0,0
350,8,2,4,28,0.26164337,0.0034022668,4,4,9,9,2
351,0,3,4,24,0.55282731,0.38296749,18,6,0,0,0
352,1,3,4,24,0.60863067,0.20869776,23,0,1,0,0
353,2,3,4,24,0.64733402,0.46826223,24,0,0,0,0
354,3,3,4,24,0.62267956,0.46527834,24,0,0,0,0
355,4,3,4,24,0.56898474,0.24996122,21,2,0,1,0
356,5,3,4,24,0.54029039,0.3980603,20,4,0,0,0
357,6,3,4,24,0.47684566,0.33306613,11,11,2,0,0
358,7,3,4,24,0.40662195,0.25003865,5,6,13,0,0
359,8,3,4,28,0.27351466,0.0030753628,5,3,7,11,2
360,0,4,4,24,0.51670861,0.38212478,18,5,0,1,0
361,1,4,4,24,0.59757721,0.46267853,23,0,0,1,0
362,2,4,4,24,0.62788701,0.49766911,24,0,0,0,0
363,3,4,4,24,0.61466119,0.49744671,24,0,0,0,0
364,4,4,4,24,0.58197599,0.44065195,22,2,0,0,0
365,5,4,4,24,0.52661734,0.37091907,17,7,0,0,0
366,6,4,4,24,0.48065632,0.35021039,11,12,1,0,0
367,7,4,4,24,0.3981363,0.20203687,7,7,9,1,0
368,8,4,4,28,0.27445338,0.0015978641,4,4,6,12,2
369,0,5,4,24,0.53033848,0.33652096,17,6,1,0,0
370,1,5,4,24,0.59314724,0.46733086,24,0,0,0,0
371,2,5,4,24,0.60441209,0.48683568,24,0,0,0,0
372,3,5,4,24,0.59629286,0.46726515,24,0,0,0,0
373,4,5,4,24,0.53832332,0.27919194,20,3,1,0,0
374,5,5,4,24,0.50714762,0.30231769,14,9,1,0,0
375,6,5,4,24,0.45646704,0.24183829,9,11,3,1,0
376,7,5,4,24,0.39889634,0.20838686,5,8,11,0,0
377,8,5,4,28,0.27689265,0.001374551,4,5,7,10,2
378,0,6,4,24,0.51793797,0.37096301,16,8,0,0,0
379,1,6,4,24,0.59146588,0.44335487,23,1,0,0,0
380,2,6,4,24,0.58534935,0.48718226,24,0,0,0,0
381,3,6,4,24,0.58243302,0.44383847,23,1,0,0,0
382,4,6,4,24,0.54885722,0.39379814,19,5,0,0,0
383,5,6,4,24,0.51991566,0.36299742,17,7,0,0,0
384,6,6,4,24,0.46374457,0.28520277,8,13,3,0,0
385,7,6,4,24,0.39174733,0.18312776,5,7,11,1,0
386,8,6,4,28,0.28512784,0.00026857898,5,4,5,12,2
387,0,7,4,24,0.49605482,0.31953866,16,5,2,1,0
388,1,7,4,24,0.58166487,0.45459217,23,1,0,0,0
389,2,7,4,24,0.5789015,0.40446957,23,0,0,1,0
390,3,7,4,24,0.56520144,0.42905927,22,2,0,0,0
391,4,7,4,24,0.52308289,0.32301044,18,4,0,2,0
392,5,7,4,24,0.51558058,0.24340663,15,8,0,1,0
393,6,7,4,24,0.47231276,0.32210873,10,10,4,0,0
394,7,7,4,24,0.40427929,0.1938614,8,4,12,0,0
395,8,7,4,28,0.28499725,0.0006398945,4,7,5,10,2
396,0,8,4,28,0.42997142,4.7183956e-05,14,9,1,0,4
397,1,8,4,28,0.46759523,1.7130735e-05,22,2,0,0,4
398,2,8,4,28,0.46804802,3.7635027e-06,21,3,0,0,4
399,3,8,4,28,0.44732295,0,18,6,0,0,4
400,4,8,4,28,0.43024053,0,13,10,1,0,4
401,5,8,4,28,0.40460584,0,10,11,3,0,4
402,6,8,4,28,0.35735636,0,6,8,10,0,4
403,7,8,4,28,0.31213142,0,3,4,16,1,4
404,8,8,4,32,0.24216981,0,4,3,15,4,6
405,0,0,5,24,0.60052999,0.47590354,24,0,0,0,0
406,1,0,5,24,0.62960368,0.49156943,24,0,0,0,0
407,2,0,5,24,0.6344741,0.50896401,24,0,0,0,0
408,3,0,5,24,0.62985451,0.49965844,24,0,0,0,0
409,4,0,5,24,0.57482548,0.46895806,24,0,0,0,0
410,5,0,5,24,0.53779834,0.4609946,24,0,0,0,0
411,6,0,5,24,0.50197384,0.38590147,19,5,0,0,0
412,7,0,5,24,0.43652301,0.32873245,6,15,3,0,0
413,8,0,5,28,0.31550879,0.0062853118,4,4,16,2,2
414,0,1,5,24,0.59772367,0.45452536,23,1,0,0,0
415,1,1,5,24,0.63743898,0.47303885,24,0,0,0,0
416,2,1,5,24,0.64030265,0.45921661,24,0,0,0,0
417,3,1,5,24,0.63142281,0.45002357,23,1,0,0,0
418,4,1,5,24,0.59312397,0.46920056,24,0,0,0,0
419,5,1,5,24,0.53273479,0.44354615,20,4,0,0,0
420,6,1,5,24,0.48951664,0.3939716,12,12,0,0,0
421,7,1,5,24,0.43390583,0.31354886,6,14,4,0,0
422,8,1,5,28,0.29483571,0.0076616594,5,3,15,3,2
423,0,2,5,24,0.58415404,0.45743624,22,2,0,0,0
424,1,2,5,24,0.63117617,0.43663313,23,1,0,0,0
425,2,2,5,24,0.64485686,0.44438467,23,1,0,0,0
426,3,2,5,24,0.63468839,0.42971366,23,1,0,0,0
427,4,2,5,24,0.59652759,0.44976387,23,1,0,0,0
428,5,2,5,24,0.54230694,0.45530806,22,2,0,0,0
429,6,2,5,24,0.48286744,0.36932667,11,13,0,0,0
430,7,2,5,24,0.41167101,0.28982307,4,13,7,0,0
431,8,2,5,28,0.26080654,0.0023886133,4,4,10,7,3
432,0,3,5,24,0.5548216,0.4093524,18,6,0,0,0
433,1,3,5,24,0.62605699,0.47278409,24,0,0,0,0
