strut_id,junction0,junction1,unit_cell_edge_idx,unit_cell_ids,design_thickness,start_x,start_y,start_z,end_x,end_y,end_z,shaft_sample_count,mask_occupancy,centerline_coverage,raw_ct_score,equivalent_thickness_um,thickness_score,longest_internal_gap_voxels,continuity_score,density_score,otsu_threshold,density_threshold,classification
106,61,68,30,4,0.1,375.18155,50.795348,105.7008,414.70201,50.485143,66.244878,39,0.55729984,1,0.53078975,254.95098,0.72843136,0,1,0.65853472,0.40911171,0.35911171,present
107,62,68,31,4,0.1,454.15813,50.393757,105.76624,414.70201,50.485143,66.244878,49,0.25281133,1,0.26375469,173.20508,0.49487166,0,1,0.42868772,0.40911171,0.35911171,uncertain
108,66,64,24,4,0.1,375.41461,90.174086,66.102911,414.87073,90.0827,105.62428,47,0.41945289,1,0.41555208,212.13203,0.60609153,0,1,0.55202437,0.40911171,0.35911171,present
109,66,65,20,4,0.1,375.41461,90.174086,66.102911,414.93506,89.863881,26.646988,49,0.62349021,1,0.64456129,269.25824,0.76930926,0,1,0.72274276,0.40911171,0.35911171,present
110,66,69,4,4,0.1,375.41461,90.174086,66.102911,415.10378,129.46144,66.026389,49,0.29654311,1,0.25014366,150,0.42857143,0,1,0.42114889,0.40911171,0.35911171,uncertain
111,66,68,5,4,0.1,375.41461,90.174086,66.102911,414.70201,50.485143,66.244878,48,0.41284014,1,0.33048267,200,0.57142857,0,1,0.51585399,0.40911171,0.35911171,present
112,67,65,22,4,0.1,454.39118,89.772495,66.168356,414.93506,89.863881,26.646988,47,0.31914894,1,0.46038572,193.64917,0.55328334,0,1,0.52218123,0.40911171,0.35911171,present
113,67,69,7,4,0.1,454.39118,89.772495,66.168356,415.10378,129.46144,66.026389,47,0.34737299,1,0.29755268,173.20508,0.49487166,0,1,0.46719562,0.40911171,0.35911171,present
114,67,64,26,4,0.1,454.39118,89.772495,66.168356,414.87073,90.0827,105.62428,49,0.62349021,1,0.59102141,264.57513,0.75592895,0,1,0.70333572,0.40911171,0.35911171,present
115,68,65,21,4,0.1,414.70201,50.485143,66.244878,414.93506,89.863881,26.646988,49,0.22490629,0.97959184,0.33751957,165.83124,0.47380354,1,0.95960017,0.43111867,0.40911171,0.35911171,uncertain
116,68,67,6,4,0.1,414.70201,50.485143,66.244878,454.39118,89.772495,66.168356,48,0.28571429,1,0.23944828,158.11388,0.45175395,0,1,0.42048726,0.40911171,0.35911171,uncertain
117,68,64,25,4,0.1,414.70201,50.485143,66.244878,414.87073,90.0827,105.62428,49,0.40774677,1,0.38265104,200,0.57142857,0,1,0.52997649,0.40911171,0.35911171,present
118,69,64,27,4,0.1,415.10378,129.46144,66.026389,414.87073,90.0827,105.62428,49,0.34693878,1,0.33729138,187.08287,0.53452248,0,1,0.48889967,0.40911171,0.35911171,present
119,69,65,23,4,0.1,415.10378,129.46144,66.026389,414.93506,89.863881,26.646988,49,0.29571012,1,0.41253277,187.08287,0.53452248,0,1,0.49610349,0.40911171,0.35911171,present
120,70,79,1,5,0.1,454.22246,50.174938,26.788955,493.91163,89.46229,26.712433,44,0.011595547,1,0.6709982,70.710678,0.20203051,0,1,0.40528575,0.40911171,0.35911171,uncertain
121,71,79,2,5,0.1,533.19903,49.773347,26.8544,493.91163,89.46229,26.712433,42,0.025753158,1,0.64899764,122.47449,0.34992711,0,1,0.43990702,0.40911171,0.35911171,uncertain
122,72,79,3,5,0.1,533.6008,128.74964,26.635911,493.91163,89.46229,26.712433,48,0.0042517007,0.75,0.5287788,70.710678,0.20203051,8,0.625,0.30416678,0.40911171,0.35911171,low_density
123,73,79,0,5,0.1,454.62423,129.15123,26.570466,493.91163,89.46229,26.712433,49,0.0087463557,0.28571429,0.48076779,100,0.28571429,3,0.26822157,0.25851605,0.40911171,0.35911171,low_density
124,70,80,13,5,0.1,454.22246,50.174938,26.788955,454.39118,89.772495,66.168356,49,0.2969596,0.95918367,0.41305639,200,0.57142857,2,0.92003332,0.49386694,0.40911171,0.35911171,present
125,73,80,12,5,0.1,454.62423,129.15123,26.570466,454.39118,89.772495,66.168356,42,0.19193392,1,0.32774403,141.42136,0.40406102,0,1,0.40691864,0.40911171,0.35911171,uncertain
126,74,80,28,5,0.1,454.5599,129.37005,105.54776,454.39118,89.772495,66.168356,47,0.40121581,1,0.40316299,193.64917,0.55328334,0,1,0.52963447,0.40911171,0.35911171,present
127,75,80,29,5,0.1,454.15813,50.393757,105.76624,454.39118,89.772495,66.168356,37,0.33701048,1,0.34512006,187.08287,0.53452248,0,1,0.48826978,0.40911171,0.35911171,present
128,70,82,14,5,0.1,454.22246,50.174938,26.788955,493.67858,50.083552,66.310322,49,0.14285714,0.87755102,0.25323902,150,0.42857143,0,0.87755102,0.35760436,0.40911171,0.35911171,low_density
129,71,82,15,5,0.1,533.19903,49.773347,26.8544,493.67858,50.083552,66.310322,32,0.44834184,1,0.52417278,237.15618,0.67758909,0,1,0.61115166,0.40911171,0.35911171,present
130,75,82,30,5,0.1,454.15813,50.393757,105.76624,493.67858,50.083552,66.310322,34,0.45078031,1,0.44326087,234.52079,0.67005939,0,1,0.5857272,0.40911171,0.35911171,present
131,76,82,31,5,0.1,533.1347,49.992166,105.83169,493.67858,50.083552,66.310322,49,0.17742607,1,0.18873556,141.42136,0.40406102,0,1,0.36086374,0.40911171,0.35911171,uncertain
132,80,78,24,5,0.1,454.39118,89.772495,66.168356,493.8473,89.681109,105.68972,43,0.27100142,1,0.27500846,165.83124,0.47380354,0,1,0.43225385,0.40911171,0.35911171,uncertain
133,80,79,20,5,0.1,454.39118,89.772495,66.168356,493.91163,89.46229,26.712433,49,0.63931695,1,0.64798793,273.86128,0.7824608,0,1,0.73180666,0.40911171,0.35911171,present
134,80,83,4,5,0.1,454.39118,89.772495,66.168356,494.08035,129.05985,66.091833,43,0.20265781,1,0.18802567,111.8034,0.31943828,0,1,0.34706461,0.40911171,0.35911171,low_density
135,80,82,5,5,0.1,454.39118,89.772495,66.168356,493.67858,50.083552,66.310322,38,0.33888292,1,0.29092818,165.83124,0.47380354,0,1,0.45739422,0.40911171,0.35911171,uncertain
136,81,79,22,5,0.1,533.36775,89.370903,66.2338,493.91163,89.46229,26.712433,42,0.19873664,1,0.36960318,158.11388,0.45175395,0,1,0.43344043,0.40911171,0.35911171,uncertain
137,81,83,7,5,0.1,533.36775,89.370903,66.2338,494.08035,129.05985,66.091833,38,0.30988185,1,0.27354556,141.42136,0.40406102,0,1,0.42604348,0.40911171,0.35911171,uncertain
138,81,78,26,5,0.1,533.36775,89.370903,66.2338,493.8473,89.681109,105.68972,49,0.6668055,1,0.64194478,278.38822,0.79539491,0,1,0.74147381,0.40911171,0.35911171,present
139,82,79,21,5,0.1,493.67858,50.083552,66.310322,493.91163,89.46229,26.712433,47,0.17889709,1,0.29861099,141.42136,0.40406102,0,1,0.39426768,0.40911171,0.35911171,uncertain
