slice_index,low_density_strut_count,strut_ids
30,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
31,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
32,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
33,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
34,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
35,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
36,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
37,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
38,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
39,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
40,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
41,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
42,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
43,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
44,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
45,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
46,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
47,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
48,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
49,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
50,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
51,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
52,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
53,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
54,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
55,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
56,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
57,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
58,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
59,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
60,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
61,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
62,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
63,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
